"id","text","author"
"e8db716d-51dc-4e28-9cf1-65c23a3483d1","You will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings.","MWS"
"3c91d5bc-1c19-40d4-823a-649b556d3679","I arrived here yesterday and my first task is to assure my dear sister of my welfare and increasing confidence in the success of my undertaking.","MWS"
"98ff5a8c-6d38-431b-ad1d-2cef736f7f77","I am already far north of London and as I walk in the streets of Petersburgh I feel a cold northern breeze play upon my cheeks which braces my nerves and fills me with delight.","MWS"
"30e30066-ef55-488d-b89f-ead93f7ed306","Do you understand this feeling  This breeze which has travelled from the regions towards which I am advancing gives me a foretaste of those icy climes.","MWS"
"bff5f7b0-be6a-424d-a60e-7aabbd5e3904","Inspirited by this wind of promise my daydreams become more fervent and vivid.","MWS"
"0fc57105-ff04-4c14-a1eb-b23c21aaa3fc","I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight.","MWS"
"11a18b17-c04b-4b64-b4f0-fadf9343d6bf","There Margaret the sun is for ever visible its broad disk just skirting the horizon and diffusing a perpetual splendour.","MWS"
"e96752e2-eaf2-42f5-b79c-414f3a4bc37a","Therefor with your leave my sister I will put some trust in preceding navigatorsthere snow and frost are banished; and sailing over a calm sea we may be wafted to a land surpassing in wonders and in beauty every region hitherto discovered on the habitable globe.","MWS"
"715c10cf-89ca-4b70-b7f0-b4d840515ed4","Its productions and features may be without example as the phenomena of the heavenly bodies undoubtedly are in those undiscovered solitudes.","MWS"
"7a339585-0536-4a3f-bfad-ba7da319db1f","What may not be expected in a country of eternal light  I may there discover the wondrous power which attracts the needle and may regulate a thousand celestial observations that require only this voyage to render their seeming eccentricities consistent for ever.","MWS"
"f0e503c6-606d-4e1e-ab37-3411c969e146","I shall satiate my ardent curiosity with the sight of a part of the world never before visited and may tread a land never before imprinted by the foot of man.","MWS"
"c6c57348-8088-442a-8482-7d16fae48b67","These are my enticements and they are sufficient to conquer all fear of danger or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat with his holiday mates on an expedition of discovery up his native river.","MWS"
"cd5cc417-0b63-4f4f-8e18-7d6939ecb5c8","But supposing all these conjectures to be false you cannot contest the inestimable benefit which I shall confer on all mankind to the last generation by discovering a passage near the pole to those countries to reach which at present so many months are requisite; or by ascertaining the secret of the magnet which if at all possible can only be effected by an undertaking such as mine.","MWS"
"4b52098f-c058-459e-ab58-b06fa6e6bc60","These reflections have dispelled the agitation with which I began my letter and I feel my heart glow with an enthusiasm which elevates me to heaven for nothing contributes so much to tranquillise the mind as a steady purposea point on which the soul may fix its intellectual eye.","MWS"
"ec490344-6f99-4401-80aa-d4b2dc8059a5","This expedition has been the favourite dream of my early years.","MWS"
"1e26b266-9b50-48dd-8fa3-93f53afbd4d6","I have read with ardour the accounts of the various voyages which have been made in the prospect of arriving at the North Pacific Ocean through the seas which surround the pole.","MWS"
"c1560c13-1909-443f-a517-6b19fab87f0f","You may remember that a history of all the voyages made for purposes of discovery composed the whole of our good Uncle Thomas library.","MWS"
"3bac6d7c-3f44-47fd-9ef0-091b220fd574","My education was neglected yet I was passionately fond of reading.","MWS"
